Title;AverageRating;SoldTickets;Price
MBTI 情境應用學｜開啟天賦力量 X 打造你要的人生;0;1009;10000
策略致勝｜產品經理的戰略思維實戰;0;519;3780
睡眠心療法｜每日 10 分鐘，身心放鬆、深層入眠;4.67;1147;6250
VOFAN 色彩流動秘訣：「光」與「影」的氣氛美學;0;1153;5500
劉奕酉的職場致勝賽局—從洞察、突圍到創造有利局面;0;1196;12000
透視攻略-形與結構的繪畫魔法;0;279;2500
產品設計實戰：用Figma打造絕佳UI/UX;4.99;8518;4280
掌握鉤針編織邏輯：五種針法自造生活小物;4.98;4987;2980
Gina 的全方位芳香療法課｜精油—你身心靈的舒緩解方;4.88;2367;9800
陳的故事行銷課 學會就能活下去の本事;0;1106;4100
Notion 實戰課程：打造專屬數位工作術;4.95;12028;3380
跟 YouTuber 莫彩曦學美國道地的說話習慣;4.91;29627;1900
【開運占卜術】工作、愛情、人際、選擇問題迎刃而解;0;385;4880
攝影吧！從有計畫的流浪開始;0;71;1850
Python 入門特訓 - 基礎實作到證照攻略;4.98;6197;1790
RyuuuTV看動漫看日劇，零到N4道地說日文;4.96;9507;3500
用 Python 理財：打造小資族選股策略;4.96;12483;3200
電商人妻 IG 增粉攻略！三大領域經營術;4.96;6242;4980
Canva 入門到進階實戰｜零基礎做質感設計;5;1722;2780
占星之門安格斯｜十二宮位找出人生攻略;4.91;3675;2580
AI 時代人人必學：用 ChatGPT 全面升級你的工作流程;4.82;1660;3280
唱出你的特色！蔡佩軒的歌唱訓練課;5;2332;9000
Procreate 插畫入門－從素描到風格;5;4170;2800
手繪轉電繪，我選 Procreate！;4.99;5940;2600
